Date,Open,High,Low,Close,Volume
2023-01-03 09:15:00,14050.0,14063.0,14008.0,14034.0,15948
2023-01-03 09:45:00,14036.0,14045.0,13952.0,13985.0,17701
2023-01-03 10:15:00,13985.0,14047.0,13966.0,14038.0,12168
2023-01-03 10:45:00,14038.0,14125.0,14027.0,14116.0,15247
2023-01-03 11:15:00,14116.0,14180.0,14115.0,14168.0,13819
2023-01-03 11:45:00,14169.0,14195.0,14157.0,14191.0,7049
2023-01-03 12:15:00,14191.0,14210.0,14185.0,14191.0,6144
2023-01-03 12:45:00,14191.0,14239.0,14188.0,14236.0,8171
2023-01-03 13:15:00,14235.0,14247.0,14218.0,14228.0,7637
2023-01-03 13:45:00,14229.0,14240.0,14216.0,14230.0,10717
2023-01-04 09:15:00,14205.0,14227.0,14184.0,14187.0,11968
2023-01-04 09:45:00,14188.0,14271.0,14181.0,14248.0,13667
2023-01-04 10:15:00,14248.0,14264.0,14228.0,14236.0,7690
2023-01-04 10:45:00,14236.0,14240.0,14204.0,14229.0,5929
2023-01-04 11:15:00,14230.0,14253.0,14214.0,14245.0,4360
2023-01-04 11:45:00,14245.0,14246.0,14191.0,14202.0,5195
2023-01-04 12:15:00,14202.0,14221.0,14187.0,14214.0,4166
2023-01-04 12:45:00,14213.0,14221.0,14198.0,14206.0,3008
2023-01-04 13:15:00,14205.0,14235.0,14202.0,14227.0,3892
2023-01-04 13:45:00,14225.0,14246.0,14206.0,14208.0,9625
2023-01-05 09:15:00,14324.0,14350.0,14300.0,14342.0,13364
2023-01-05 09:45:00,14343.0,14375.0,14313.0,14327.0,13540
2023-01-05 10:15:00,14328.0,14332.0,14268.0,14277.0,13264
2023-01-05 10:45:00,14277.0,14293.0,14272.0,14278.0,5198
2023-01-05 11:15:00,14278.0,14300.0,14258.0,14290.0,7008
2023-01-05 11:45:00,14291.0,14299.0,14262.0,14263.0,3848
2023-01-05 12:15:00,14264.0,14267.0,14239.0,14254.0,5714
2023-01-05 12:45:00,14254.0,14270.0,14252.0,14269.0,3345
2023-01-05 13:15:00,14269.0,14279.0,14262.0,14278.0,3569
2023-01-05 13:45:00,14278.0,14292.0,14264.0,14289.0,8768
2023-01-06 09:15:00,14278.0,14340.0,14275.0,14331.0,13035
2023-01-06 09:45:00,14333.0,14347.0,14305.0,14318.0,10424
2023-01-06 10:15:00,14317.0,14325.0,14293.0,14293.0,6818
2023-01-06 10:45:00,14293.0,14340.0,14290.0,14328.0,6734
2023-01-06 11:15:00,14329.0,14385.0,14322.0,14372.0,10476
2023-01-06 11:45:00,14372.0,14400.0,14368.0,14382.0,8042
2023-01-06 12:15:00,14382.0,14403.0,14375.0,14384.0,5112
2023-01-06 12:45:00,14385.0,14394.0,14371.0,14380.0,3657
2023-01-06 13:15:00,14379.0,14385.0,14363.0,14369.0,4654
2023-01-06 13:45:00,14370.0,14376.0,14354.0,14364.0,9516
2023-01-09 09:15:00,14618.0,14638.0,14582.0,14589.0,17368
2023-01-09 09:45:00,14590.0,14648.0,14583.0,14638.0,14720
2023-01-09 10:15:00,14640.0,14665.0,14640.0,14648.0,8933
2023-01-09 10:45:00,14649.0,14673.0,14636.0,14671.0,6344
2023-01-09 11:15:00,14669.0,14678.0,14660.0,14673.0,3407
2023-01-09 11:45:00,14673.0,14695.0,14669.0,14694.0,3956
2023-01-09 12:15:00,14695.0,14699.0,14685.0,14697.0,3180
2023-01-09 12:45:00,14698.0,14732.0,14694.0,14729.0,5476
2023-01-09 13:15:00,14730.0,14736.0,14718.0,14732.0,4505
2023-01-09 13:45:00,14731.0,14770.0,14731.0,14769.0,12010
2023-01-10 09:15:00,14745.0,14796.0,14740.0,14767.0,12133
2023-01-10 09:45:00,14766.0,14799.0,14758.0,14792.0,9831
2023-01-10 10:15:00,14791.0,14829.0,14791.0,14803.0,8676
2023-01-10 10:45:00,14802.0,14810.0,14735.0,14740.0,10210
2023-01-10 11:15:00,14741.0,14765.0,14739.0,14758.0,4718
2023-01-10 11:45:00,14760.0,14776.0,14755.0,14775.0,4398
2023-01-10 12:15:00,14774.0,14802.0,14770.0,14795.0,4129
2023-01-10 12:45:00,14795.0,14800.0,14776.0,14780.0,3149
2023-01-10 13:15:00,14781.0,14790.0,14772.0,14787.0,3392
2023-01-10 13:45:00,14787.0,14824.0,14782.0,14808.0,8318
2023-01-11 09:15:00,14855.0,14884.0,14812.0,14822.0,12283
2023-01-11 09:45:00,14822.0,14827.0,14786.0,14809.0,10674
2023-01-11 10:15:00,14809.0,14816.0,14784.0,14795.0,6100
2023-01-11 10:45:00,14796.0,14799.0,14771.0,14771.0,5162
2023-01-11 11:15:00,14773.0,14780.0,14748.0,14751.0,6157
2023-01-11 11:45:00,14751.0,14792.0,14746.0,14788.0,5144
2023-01-11 12:15:00,14789.0,14790.0,14760.0,14784.0,3553
2023-01-11 12:45:00,14783.0,14791.0,14772.0,14777.0,2266
2023-01-11 13:15:00,14776.0,14803.0,14771.0,14802.0,3885
2023-01-11 13:45:00,14801.0,14802.0,14774.0,14792.0,7033
2023-01-12 09:15:00,14825.0,14840.0,14791.0,14793.0,10220
2023-01-12 09:45:00,14793.0,14823.0,14791.0,14791.0,7988
2023-01-12 10:15:00,14791.0,14799.0,14771.0,14772.0,7516
2023-01-12 10:45:00,14773.0,14776.0,14715.0,14717.0,9901
2023-01-12 11:15:00,14718.0,14756.0,14715.0,14756.0,6148
2023-01-12 11:45:00,14755.0,14773.0,14745.0,14764.0,4744
2023-01-12 12:15:00,14766.0,14775.0,14750.0,14754.0,3119
2023-01-12 12:45:00,14755.0,14772.0,14739.0,14740.0,3114
2023-01-12 13:15:00,14740.0,14764.0,14709.0,14759.0,7240
2023-01-12 13:45:00,14759.0,14786.0,14744.0,14768.0,8201
2023-01-13 09:15:00,15000.0,15016.0,14950.0,14955.0,15638
2023-01-13 09:45:00,14955.0,14957.0,14870.0,14884.0,17691
2023-01-13 10:15:00,14884.0,14910.0,14864.0,14883.0,9293
2023-01-13 10:45:00,14884.0,14891.0,14856.0,14869.0,6745
2023-01-13 11:15:00,14870.0,14878.0,14832.0,14853.0,7015
2023-01-13 11:45:00,14854.0,14861.0,14825.0,14826.0,4281
2023-01-13 12:15:00,14826.0,14861.0,14822.0,14846.0,5056
2023-01-13 12:45:00,14846.0,14864.0,14836.0,14851.0,3208
2023-01-13 13:15:00,14852.0,14868.0,14846.0,14863.0,3888
2023-01-13 13:45:00,14862.0,14867.0,14823.0,14833.0,7568
2023-01-16 09:15:00,14935.0,14958.0,14923.0,14933.0,12064
2023-01-16 09:45:00,14934.0,14966.0,14925.0,14948.0,9577
2023-01-16 10:15:00,14948.0,15004.0,14948.0,14981.0,8700
2023-01-16 10:45:00,14982.0,14989.0,14953.0,14953.0,4994
2023-01-16 11:15:00,14954.0,14969.0,14918.0,14926.0,6286
2023-01-16 11:45:00,14925.0,14972.0,14923.0,14967.0,4448
2023-01-16 12:15:00,14968.0,14968.0,14926.0,14927.0,3797
2023-01-16 12:45:00,14927.0,14937.0,14921.0,14930.0,3152
2023-01-16 13:15:00,14930.0,14948.0,14924.0,14937.0,2990
2023-01-16 13:45:00,14937.0,14949.0,14916.0,14936.0,6925
2023-01-17 09:15:00,14923.0,14943.0,14911.0,14915.0,7897
